month,day,weekday,transaction_direction,channel,payment_system,category_0,category_1,category_2,amount,age,initial_balance,assigned_bank_type,assigned_bank,laundering_schema_type,laundering_schema_id,laundering_yn,transactionID,sourceAccountID,targetAccountID,timestamp,fan_in_bins_2-3,fan_in_bins_3-inf,fan_out_bins_2-3,fan_out_bins_3-inf,degree_in_bins_2-3,degree_in_bins_3-inf,degree_out_bins_2-3,degree_out_bins_3-inf,scatter-gather_bins_2-3,scatter-gather_bins_3-inf,temp-cycle_bins_2-3,temp-cycle_bins_3-inf,source_fan_out,source_deg_out,source_ratio_out,source_avg_col3_out,source_sum_col3_out,source_var_col3_out,source_skew_col3_out,source_kurtosis_col3_out,source_fan_in,source_deg_in,source_ratio_in,source_avg_col3_in,source_sum_col3_in,source_var_col3_in,source_skew_col3_in,source_kurtosis_col3_in,dest_fan_out,dest_deg_out,dest_ratio_out,dest_avg_col3_out,dest_sum_col3_out,dest_var_col3_out,dest_skew_col3_out,dest_kurtosis_col3_out,dest_fan_in,dest_deg_in,dest_ratio_in,dest_avg_col3_in,dest_sum_col3_in,dest_var_col3_in,dest_skew_col3_in,dest_kurtosis_col3_in
3,6,Friday,outbound,OTHER,OTHER,commissions_bank_fees,other,other,2.0,65.0,16025.61,large,large_1,,,0,10.0,0.0,89.0,1698.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,204.0,22.666666666666668,863.5882352941176,176172.0,260320.35986159183,0.0859489307214686,1.7299882722524076
3,13,Friday,outbound,OTHER,OTHER,other_expenses,other,other,2000.0,65.0,16025.61,large,large_1,,,0,11.0,0.0,159.0,65540.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,115.0,19.166666666666668,54922.0608695652,6316037.0,219511604.52673,-0.6099360441125831,2.821914233525591
3,17,Tuesday,outbound,CHECK,ICS,other_expenses,check,other,1200.0,65.0,16025.61,large,large_1,,,0,12.0,0.0,159.0,41756.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,115.0,19.166666666666668,54922.0608695652,6316037.0,219511604.52673,-0.6099360441125831,2.821914233525591
3,31,Tuesday,outbound,OTHER,OTHER,taxes,real_estate_assets,other,6.0,65.0,16025.61,large,large_1,,,0,14.0,0.0,221.0,38262.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,37.0,6.166666666666667,58482.16216216217,2163840.0,375175756.1358656,-0.1407989068848027,1.5573968333146928
3,31,Tuesday,outbound,OTHER,OTHER,taxes,other,other,28.0,65.0,16025.61,large,large_1,,,0,13.0,0.0,221.0,64968.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,37.0,6.166666666666667,58482.16216216217,2163840.0,375175756.1358656,-0.1407989068848027,1.5573968333146928
4,1,Wednesday,inbound,WIRE TRANSFER,BACS,income,pension,other,515.0,65.0,16025.61,large,large_1,,,0,15.0,0.0,160.0,43.0,11.0,0.0,0.0,0.0,0.0,11.0,1.0,4.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,10.5,35.285714285714285,741.0,287.3469387755102,-0.3527722050231137,1.6745855258910127
4,2,Thursday,outbound,OTHER,OTHER,taxes,other,other,8.5,65.0,16025.61,large,large_1,,,0,16.0,0.0,221.0,82563.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,37.0,6.166666666666667,58482.16216216217,2163840.0,375175756.1358656,-0.1407989068848027,1.5573968333146928
4,3,Friday,inbound,WIRE TRANSFER,FPS,material_assets,real_estate_property,other,3000.0,65.0,16025.61,large,large_1,,,0,18.0,0.0,192.0,39918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,39918.0,39918.0,0.0,0.0,0.0
4,3,Friday,inbound,OTHER,OTHER,financial_assets,managed_account,profits_dividends,118.0,65.0,16025.61,large,large_1,,,0,17.0,0.0,118.0,67345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,64645.66666666666,193937.0,262028512.88888893,-0.2454973421606495,1.4999999999999998
4,6,Monday,outbound,OTHER,OTHER,commissions_bank_fees,other,other,2.0,65.0,16025.61,large,large_1,,,0,19.0,0.0,89.0,1329.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,204.0,22.666666666666668,863.5882352941176,176172.0,260320.35986159183,0.0859489307214686,1.7299882722524076
5,3,Sunday,inbound,WIRE TRANSFER,BACS,income,pension,other,515.0,65.0,16025.61,large,large_1,,,0,21.0,0.0,160.0,6.0,6.0,0.0,0.0,0.0,1.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,10.5,35.285714285714285,741.0,287.3469387755102,-0.3527722050231137,1.6745855258910127
5,3,Sunday,outbound,OTHER,OTHER,other_expenses,other,other,2000.0,65.0,16025.61,large,large_1,,,0,20.0,0.0,159.0,34584.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,115.0,19.166666666666668,54922.0608695652,6316037.0,219511604.52673,-0.6099360441125831,2.821914233525591
5,7,Thursday,outbound,OTHER,OTHER,commissions_bank_fees,other,other,2.0,65.0,16025.61,large,large_1,,,0,22.0,0.0,89.0,259.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,204.0,22.666666666666668,863.5882352941176,176172.0,260320.35986159183,0.0859489307214686,1.7299882722524076
5,11,Monday,outbound,OTHER,OTHER,other_expenses,other,other,1.0,65.0,16025.61,large,large_1,,,0,23.0,0.0,159.0,39237.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,115.0,19.166666666666668,54922.0608695652,6316037.0,219511604.52673,-0.6099360441125831,2.821914233525591
5,11,Monday,outbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,25.0,65.0,16025.61,large,large_1,,,0,24.0,0.0,5.0,41756.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,41756.0,41756.0,0.0,0.0,0.0
5,22,Friday,inbound,OTHER,OTHER,income,other_income,other_uncategorized_income,2484.07,65.0,16025.61,large,large_1,,,0,25.0,0.0,159.0,38262.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,115.0,19.166666666666668,54922.0608695652,6316037.0,219511604.52673,-0.6099360441125831,2.821914233525591
5,22,Friday,inbound,OTHER,OTHER,income,other_income,other_uncategorized_income,0.0,65.0,16025.61,large,large_1,,,0,26.0,0.0,159.0,64968.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,115.0,19.166666666666668,54922.0608695652,6316037.0,219511604.52673,-0.6099360441125831,2.821914233525591
5,22,Friday,outbound,OTHER,OTHER,other_expenses,other,other,11150.0,65.0,16025.61,large,large_1,,,0,27.0,0.0,159.0,71384.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,115.0,19.166666666666668,54922.0608695652,6316037.0,219511604.52673,-0.6099360441125831,2.821914233525591
5,24,Sunday,outbound,CHECK,ICS,other_expenses,check,other,2400.0,65.0,16025.61,large,large_1,,,0,28.0,0.0,159.0,62522.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,115.0,19.166666666666668,54922.0608695652,6316037.0,219511604.52673,-0.6099360441125831,2.821914233525591
5,31,Sunday,outbound,OTHER,OTHER,taxes,other,other,136.0,65.0,16025.61,large,large_1,,,0,29.0,0.0,221.0,68850.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,37.0,6.166666666666667,58482.16216216217,2163840.0,375175756.1358656,-0.1407989068848027,1.5573968333146928
6,1,Monday,inbound,WIRE TRANSFER,BACS,income,pension,other,515.0,65.0,16025.61,large,large_1,,,0,30.0,0.0,160.0,12.0,6.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,10.5,35.285714285714285,741.0,287.3469387755102,-0.3527722050231137,1.6745855258910127
6,7,Sunday,outbound,OTHER,OTHER,commissions_bank_fees,other,other,2.0,65.0,16025.61,large,large_1,,,0,32.0,0.0,89.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,204.0,22.666666666666668,863.5882352941176,176172.0,260320.35986159183,0.0859489307214686,1.7299882722524076
6,7,Sunday,inbound,OTHER,OTHER,income,other_income,other_uncategorized_income,2.0,65.0,16025.61,large,large_1,,,0,31.0,0.0,159.0,82563.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,115.0,19.166666666666668,54922.0608695652,6316037.0,219511604.52673,-0.6099360441125831,2.821914233525591
6,16,Tuesday,outbound,OTHER,OTHER,taxes,other,other,110.0,65.0,16025.61,large,large_1,,,0,33.0,0.0,221.0,29038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,37.0,6.166666666666667,58482.16216216217,2163840.0,375175756.1358656,-0.1407989068848027,1.5573968333146928
6,16,Tuesday,outbound,CHECK,ICS,other_expenses,check,other,256.0,65.0,16025.61,large,large_1,,,0,34.0,0.0,159.0,76203.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,115.0,19.166666666666668,54922.0608695652,6316037.0,219511604.52673,-0.6099360441125831,2.821914233525591
6,30,Tuesday,outbound,OTHER,OTHER,commissions_bank_fees,other,other,23.0,65.0,16025.61,large,large_1,,,0,36.0,0.0,89.0,1531.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,204.0,22.666666666666668,863.5882352941176,176172.0,260320.35986159183,0.0859489307214686,1.7299882722524076
6,30,Tuesday,outbound,OTHER,OTHER,taxes,real_estate_assets,other,6.1,65.0,16025.61,large,large_1,,,0,35.0,0.0,221.0,64968.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,37.0,6.166666666666667,58482.16216216217,2163840.0,375175756.1358656,-0.1407989068848027,1.5573968333146928
7,6,Monday,outbound,OTHER,OTHER,other_expenses,other,other,2000.0,65.0,16025.61,large,large_1,,,0,37.0,0.0,159.0,66983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,115.0,19.166666666666668,54922.0608695652,6316037.0,219511604.52673,-0.6099360441125831,2.821914233525591
7,7,Tuesday,outbound,OTHER,OTHER,commissions_bank_fees,other,other,2.0,65.0,16025.61,large,large_1,,,0,38.0,0.0,89.0,1379.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,204.0,22.666666666666668,863.5882352941176,176172.0,260320.35986159183,0.0859489307214686,1.7299882722524076
7,21,Tuesday,inbound,OTHER,OTHER,financial_assets,managed_account,profits_dividends,152.7,65.0,16025.61,large,large_1,,,0,39.0,0.0,118.0,82983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,64645.66666666666,193937.0,262028512.88888893,-0.2454973421606495,1.4999999999999998
8,2,Sunday,inbound,WIRE TRANSFER,BACS,income,pension,other,515.0,65.0,16025.61,large,large_1,,,0,40.0,0.0,160.0,50.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,10.5,35.285714285714285,741.0,287.3469387755102,-0.3527722050231137,1.6745855258910127
8,6,Thursday,outbound,OTHER,OTHER,commissions_bank_fees,other,other,2.0,65.0,16025.61,large,large_1,,,0,41.0,0.0,89.0,866.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,204.0,22.666666666666668,863.5882352941176,176172.0,260320.35986159183,0.0859489307214686,1.7299882722524076
9,1,Tuesday,inbound,WIRE TRANSFER,BACS,income,pension,other,515.0,65.0,16025.61,large,large_1,,,0,42.0,0.0,160.0,45.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,10.5,35.285714285714285,741.0,287.3469387755102,-0.3527722050231137,1.6745855258910127
