transaction_id,account_id,month,day,weekday,hour,min,sec,transaction_direction,channel,payment_system,category_0,category_1,category_2,amount,counterpart_id
17,0,4,3,Friday,18,42,25,inbound,OTHER,OTHER,financial_assets,managed_account,profits_dividends,118.0,financial_assets_managed_10
19,0,4,6,Monday,0,22,9,outbound,OTHER,OTHER,commissions_bank_fees,other,other,2.0,bank_commission_1
21,0,5,3,Sunday,0,0,6,inbound,WIRE TRANSFER,BACS,income,pension,other,515.0,pension_1
20,0,5,3,Sunday,9,36,24,outbound,OTHER,OTHER,other_expenses,other,other,2000.0,other_1
22,0,5,7,Thursday,0,4,19,outbound,OTHER,OTHER,commissions_bank_fees,other,other,2.0,bank_commission_1
23,0,5,11,Monday,10,53,57,outbound,OTHER,OTHER,other_expenses,other,other,1.0,other_1
24,0,5,11,Monday,11,35,56,outbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,25.0,1014811
25,0,5,22,Friday,10,37,42,inbound,OTHER,OTHER,income,other_income,other_uncategorized_income,2484.07,other_1
26,0,5,22,Friday,18,2,48,inbound,OTHER,OTHER,income,other_income,other_uncategorized_income,0.0,other_1
27,0,5,22,Friday,19,49,44,outbound,OTHER,OTHER,other_expenses,other,other,11150.0,other_1
28,0,5,24,Sunday,17,22,2,outbound,CHECK,ICS,other_expenses,check,other,2400.0,other_1
29,0,5,31,Sunday,19,7,30,outbound,OTHER,OTHER,taxes,other,other,136.0,taxes_1
30,0,6,1,Monday,0,0,12,inbound,WIRE TRANSFER,BACS,income,pension,other,515.0,pension_1
32,0,6,7,Sunday,0,7,0,outbound,OTHER,OTHER,commissions_bank_fees,other,other,2.0,bank_commission_1
31,0,6,7,Sunday,22,56,3,inbound,OTHER,OTHER,income,other_income,other_uncategorized_income,2.0,other_1
33,0,6,16,Tuesday,8,3,58,outbound,OTHER,OTHER,taxes,other,other,110.0,taxes_1
34,0,6,16,Tuesday,21,10,3,outbound,CHECK,ICS,other_expenses,check,other,256.0,other_1
36,0,6,30,Tuesday,0,25,31,outbound,OTHER,OTHER,commissions_bank_fees,other,other,23.0,bank_commission_1
35,0,6,30,Tuesday,18,2,48,outbound,OTHER,OTHER,taxes,real_estate_assets,other,6.1,taxes_1
37,0,7,6,Monday,18,36,23,outbound,OTHER,OTHER,other_expenses,other,other,2000.0,other_1
38,0,7,7,Tuesday,0,22,59,outbound,OTHER,OTHER,commissions_bank_fees,other,other,2.0,bank_commission_1
39,0,7,21,Tuesday,23,3,3,inbound,OTHER,OTHER,financial_assets,managed_account,profits_dividends,152.7,financial_assets_managed_10
40,0,8,2,Sunday,0,0,50,inbound,WIRE TRANSFER,BACS,income,pension,other,515.0,pension_1
41,0,8,6,Thursday,0,14,26,outbound,OTHER,OTHER,commissions_bank_fees,other,other,2.0,bank_commission_1
42,0,9,1,Tuesday,0,0,45,inbound,WIRE TRANSFER,BACS,income,pension,other,515.0,pension_1
43,0,9,2,Wednesday,14,29,5,outbound,OTHER,OTHER,other_expenses,other,other,900.0,other_1
44,0,9,6,Sunday,0,23,47,outbound,OTHER,OTHER,commissions_bank_fees,other,other,2.0,bank_commission_1
45,0,9,30,Wednesday,22,56,3,outbound,OTHER,OTHER,taxes,real_estate_assets,other,6.0,taxes_1
46,0,10,1,Thursday,0,0,27,inbound,WIRE TRANSFER,BACS,income,pension,other,515.0,pension_1
47,0,10,7,Wednesday,0,11,21,outbound,OTHER,OTHER,commissions_bank_fees,other,other,2.0,bank_commission_1
48,0,10,20,Tuesday,18,59,16,outbound,OTHER,OTHER,other_expenses,other,other,2000.0,other_1
49,0,11,2,Monday,0,0,47,inbound,WIRE TRANSFER,BACS,income,pension,other,515.0,pension_1
50,0,11,6,Friday,0,29,26,outbound,OTHER,OTHER,commissions_bank_fees,other,other,2.0,bank_commission_1
51,0,12,1,Tuesday,0,0,21,inbound,WIRE TRANSFER,BACS,income,pension,other,1186.0,pension_1
52,0,12,6,Sunday,0,25,16,outbound,OTHER,OTHER,commissions_bank_fees,other,other,2.0,bank_commission_1
53,0,12,16,Wednesday,12,59,50,outbound,OTHER,OTHER,other_expenses,other,other,1200.0,other_1
54,0,12,31,Thursday,19,7,30,outbound,OTHER,OTHER,taxes,real_estate_assets,other,6.2,taxes_1
57,1,1,4,Saturday,0,0,58,inbound,WIRE TRANSFER,BACS,income,pension,other,901.6,pension_1
58,1,1,5,Sunday,9,43,43,outbound,OTHER,OTHER,taxes,other,other,8.6,taxes_1
59,1,1,5,Sunday,12,15,15,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,39.62,supermarket_groceries_129
116360024,1,1,8,Wednesday,19,24,53,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,420.0,684741
60,1,1,9,Thursday,11,15,15,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,23.94,supermarket_groceries_176
62,1,1,12,Sunday,13,15,15,outbound,CARD,Visa/Mastercard,health,medicines_parapharmacy,other,17.79,pharmacy_6
61,1,1,12,Sunday,16,40,40,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,21.25,supermarket_groceries_82
59063067,1,1,12,Sunday,16,54,32,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,95.0,347571
64,1,1,12,Sunday,17,40,40,outbound,CARD,Visa/Mastercard,health,medicines_parapharmacy,other,19.9,pharmacy_6
63,1,1,12,Sunday,18,12,20,outbound,CHECK,ICS,other_expenses,check,other,666.7,other_1
59063070,1,1,14,Tuesday,10,49,25,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,570.0,347571
59063069,1,1,14,Tuesday,10,51,54,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,1900.0,347571
181425569,1,1,15,Wednesday,11,41,53,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,228.6,1067220
65,1,1,16,Thursday,12,15,15,outbound,CARD,Visa/Mastercard,health,medicines_parapharmacy,other,43.58,pharmacy_52
116360027,1,1,16,Thursday,20,35,19,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,gift,other,42.0,684741
66,1,1,18,Saturday,6,10,22,outbound,SDD,BACS,utilities,phone_internet,other,42.58,phone_internet_4
67,1,1,18,Saturday,21,42,52,outbound,OTHER,OTHER,other_expenses,other,other,500.0,other_1
115394738,1,1,19,Sunday,9,3,47,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,21.0,679051
68,1,1,19,Sunday,20,56,56,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,33.0,supermarket_groceries_129
69,1,1,22,Wednesday,10,37,42,outbound,OTHER,OTHER,insurances,other,other,10.01,insurance_12
70,1,1,23,Thursday,16,40,40,outbound,CARD,Visa/Mastercard,health,medicines_parapharmacy,other,63.0,pharmacy_16
73,1,1,26,Sunday,10,6,6,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,30.93,supermarket_groceries_176
71,1,1,26,Sunday,10,37,42,outbound,SDD,BACS,utilities,domestic_utilities,electricity_gas_bill,101.6,electricity_gas_bill_7
72,1,1,26,Sunday,16,43,43,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,24.44,supermarket_groceries_176
74,1,1,28,Tuesday,11,15,15,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,41.2,supermarket_groceries_15
75,1,1,30,Thursday,21,56,56,outbound,CARD,Visa/Mastercard,health,medicines_parapharmacy,other,14.7,pharmacy_46
76,1,2,1,Saturday,0,0,50,inbound,WIRE TRANSFER,BACS,income,pension,other,901.6,pension_1
77,1,2,2,Sunday,12,15,15,outbound,CARD,Visa/Mastercard,shopping,clothing,other,19.99,clothing_50
79,1,2,3,Monday,11,15,15,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,26.67,supermarket_groceries_129
78,1,2,3,Monday,18,2,48,inbound,WIRE TRANSFER,FPS,insurances,other,other,81.48,insurance_16
163540878,1,2,3,Monday,20,12,46,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,80.0,961626
50814593,1,2,5,Wednesday,16,28,40,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,720.0,299157
80,1,2,5,Wednesday,19,42,17,outbound,OTHER,OTHER,other_expenses,other,other,150.0,other_1
116360035,1,2,7,Friday,11,4,26,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,420.0,684741
97100686,1,2,7,Friday,12,57,5,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,640.0,571396
145339242,1,2,9,Sunday,11,21,50,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,1800.0,854469
82,1,2,9,Sunday,18,12,20,outbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,1346.0,41200
176019610,1,2,9,Sunday,18,36,2,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,gift,other,130.0,1035311
81,1,2,9,Sunday,21,19,50,outbound,OTHER,OTHER,other_expenses,other,other,1.0,other_1
51769386,1,2,10,Monday,16,32,51,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,150.8,304763
94534730,1,2,10,Monday,18,24,39,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,136.0,556357
83,1,2,10,Monday,21,12,46,outbound,OTHER,OTHER,taxes,other,other,5407.0,taxes_1
84,1,2,11,Tuesday,16,40,40,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,45.9,supermarket_groceries_15
85,1,2,12,Wednesday,11,15,15,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,55.78,supermarket_groceries_176
86,1,2,13,Thursday,16,40,40,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,19.4,supermarket_groceries_134
87,1,2,16,Sunday,11,12,12,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,9.02,supermarket_groceries_134
88,1,2,18,Tuesday,21,56,56,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,9.84,supermarket_groceries_82
89,1,2,20,Thursday,21,56,56,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,13.34,supermarket_groceries_176
145339249,1,2,23,Sunday,15,58,53,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,1008.0,854469
90,1,2,23,Sunday,21,56,56,outbound,CARD,Visa/Mastercard,health,medicines_parapharmacy,other,20.0,pharmacy_46
91,1,2,24,Monday,12,15,15,outbound,CARD,Visa/Mastercard,health,medicines_parapharmacy,other,38.56,pharmacy_63
92,1,2,24,Monday,16,40,40,outbound,CARD,Visa/Mastercard,health,medicines_parapharmacy,other,15.54,pharmacy_52
93,1,2,25,Tuesday,11,49,52,outbound,CARD,Visa/Mastercard,professional_services,public_administration_services,postal_services,38.75,public_administration_services_18
94,1,3,1,Sunday,0,0,57,inbound,WIRE TRANSFER,BACS,income,pension,other,901.5,pension_1
95,1,3,2,Monday,11,15,15,outbound,CARD,Visa/Mastercard,home,furniture_appliances,other,30.0,furniture_20
96,1,3,3,Tuesday,9,36,24,outbound,CHECK,ICS,other_expenses,check,other,1000.0,other_1
97,1,3,3,Tuesday,17,43,43,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,16.51,supermarket_groceries_82
115394780,1,3,5,Thursday,8,27,31,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,7.0,679051
52401648,1,3,8,Sunday,12,50,37,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,130.0,308454
98,1,3,9,Monday,9,15,15,outbound,CARD,Visa/Mastercard,transportation,car,fuel,20.0,fuel_5
52283320,1,3,10,Tuesday,13,27,1,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,630.0,307806
169520270,1,3,10,Tuesday,16,12,26,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,976.0,997194
169508758,1,3,12,Thursday,20,13,23,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,58.5,997124
59063123,1,3,15,Sunday,19,17,7,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,1900.0,347571
99,1,3,16,Monday,21,56,56,outbound,CARD,Visa/Mastercard,health,medicines_parapharmacy,other,40.93,pharmacy_6
80916267,1,3,17,Tuesday,3,11,31,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,3800.0,476180
51500066,1,3,17,Tuesday,11,23,39,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,125.0,303176
101,1,3,18,Wednesday,10,53,57,outbound,CHECK,ICS,other_expenses,check,other,5000.0,other_1
100,1,3,18,Wednesday,16,3,58,outbound,SDD,BACS,utilities,phone_internet,other,24.51,phone_internet_4
102,1,3,18,Wednesday,17,40,40,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,24.6,supermarket_groceries_176
103,1,3,19,Thursday,17,43,43,outbound,CARD,Visa/Mastercard,health,medicines_parapharmacy,other,29.0,pharmacy_16
104,1,3,20,Friday,11,15,15,outbound,CARD,Visa/Mastercard,home,furniture_appliances,other,12.0,furniture_13
106,1,3,22,Sunday,10,15,15,outbound,CARD,Visa/Mastercard,transportation,car,fuel,20.0,fuel_5
105,1,3,22,Sunday,18,2,48,outbound,SDD,BACS,utilities,domestic_utilities,electricity_gas_bill,91.05,electricity_gas_bill_7
108,1,3,24,Tuesday,9,6,6,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,15.98,supermarket_groceries_15
107,1,3,24,Tuesday,22,56,3,outbound,SDD,BACS,utilities,domestic_utilities,electricity_gas_bill,61.8,electricity_gas_bill_7
110,1,3,25,Wednesday,11,15,15,outbound,CARD,Visa/Mastercard,home,furniture_appliances,other,650.0,furniture_20
109,1,3,25,Wednesday,16,22,7,outbound,CARD,Visa/Mastercard,professional_services,public_administration_services,postal_services,100.4,public_administration_services_18
111,1,3,26,Thursday,17,43,43,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,24.8,supermarket_groceries_82
112,1,3,29,Sunday,12,15,15,outbound,CARD,Visa/Mastercard,shopping,other,other,9.75,online_shopping_13
113,1,3,30,Monday,16,40,40,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,16.7,supermarket_groceries_15
145339265,1,4,6,Monday,8,32,46,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,360.0,854469
57736071,1,4,6,Monday,12,34,6,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,900.0,339807
114931994,1,4,14,Tuesday,0,26,28,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,50.0,676360
121326379,1,4,22,Wednesday,12,48,59,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,2700.0,713783
94993917,1,4,24,Friday,20,21,24,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,25.0,559077
173886794,1,4,27,Monday,16,23,29,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,31.25,1022922
98070329,1,4,28,Tuesday,10,16,12,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,13.0,577124
114,1,4,30,Thursday,11,15,15,outbound,CARD,Visa/Mastercard,home,decorations_plants_garden,other,31.5,gardening_11
145339280,1,5,5,Tuesday,8,12,44,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,360.0,854469
65805991,1,5,11,Monday,20,12,44,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,20.0,387148
107500021,1,5,18,Monday,12,34,9,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,1816.0,632529
115,1,5,19,Tuesday,18,2,9,outbound,OTHER,OTHER,other_expenses,other,other,500.0,other_1
121326418,1,5,21,Thursday,6,53,5,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,1080.0,713783
111026915,1,5,21,Thursday,13,34,57,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,30.0,653383
118,1,5,24,Sunday,8,3,58,outbound,SDD,BACS,utilities,domestic_utilities,electricity_gas_bill,61.8,electricity_gas_bill_7
117,1,5,24,Sunday,19,7,30,outbound,SDD,BACS,utilities,domestic_utilities,electricity_gas_bill,83.78,electricity_gas_bill_7
116,1,5,24,Sunday,22,35,3,outbound,SDD,BACS,utilities,phone_internet,other,20.04,phone_internet_4
119,1,5,27,Wednesday,12,57,4,outbound,OTHER,OTHER,other_expenses,other,other,500.0,other_1
120940129,1,5,28,Thursday,14,18,29,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,160.0,711549
175247041,1,6,5,Friday,13,49,42,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,90.0,1030777
120,1,6,7,Sunday,0,0,43,inbound,WIRE TRANSFER,BACS,income,pension,other,901.5,pension_1
174212110,1,6,8,Monday,13,27,12,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,112.0,1024782
116360078,1,6,8,Monday,18,53,54,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,420.0,684741
121,1,6,8,Monday,19,49,44,outbound,CHECK,ICS,other_expenses,check,other,490.0,other_1
57052180,1,6,9,Tuesday,12,0,49,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,585.0,335863
145339295,1,6,11,Thursday,18,59,38,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,141.52,854469
166946249,1,6,15,Monday,14,35,33,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,60.0,981949
123,1,6,16,Tuesday,14,20,23,outbound,OTHER,OTHER,taxes,other,other,131.0,taxes_1
122,1,6,16,Tuesday,19,38,26,outbound,OTHER,OTHER,taxes,other,other,131.0,taxes_1
124,1,6,16,Tuesday,20,7,51,outbound,OTHER,OTHER,taxes,other,other,131.0,taxes_1
125,1,6,17,Wednesday,21,56,56,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,17.93,supermarket_groceries_176
126,1,6,19,Friday,11,15,15,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,20.0,supermarket_groceries_15
65806002,1,6,22,Monday,6,57,47,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,377.52437559656585,387148
127,1,6,23,Tuesday,12,15,15,outbound,CARD,Visa/Mastercard,health,medicines_parapharmacy,other,20.5,pharmacy_46
128,1,6,25,Thursday,10,6,6,outbound,CARD,Visa/Mastercard,health,medicines_parapharmacy,other,58.95,pharmacy_6
55997076,1,6,26,Friday,20,53,20,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,918.65,329575
52283406,1,6,28,Sunday,13,34,54,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,720.0,307806
129,1,6,30,Tuesday,10,12,12,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,20.79,supermarket_groceries_134
131,1,7,1,Wednesday,0,0,21,inbound,WIRE TRANSFER,BACS,income,pension,other,1442.0,pension_1
130,1,7,1,Wednesday,0,28,38,outbound,OTHER,OTHER,commissions_bank_fees,other,other,4.25,bank_commission_1
193205468,1,7,1,Wednesday,12,56,56,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,28500.0,1136446
132,1,7,2,Thursday,9,6,6,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,20.0,supermarket_groceries_134
110396007,1,7,2,Thursday,13,12,48,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,65.0,649695
133,1,7,3,Friday,11,15,15,outbound,CARD,Visa/Mastercard,shopping,other,other,23.7,online_shopping_14
134,1,7,3,Friday,14,52,35,outbound,CARD,Visa/Mastercard,other_expenses,other,other,47.0,other_1
57052195,1,7,5,Sunday,11,25,21,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,195.0,335863
136,1,7,5,Sunday,12,25,36,outbound,OTHER,OTHER,taxes,other,other,5.17,taxes_1
55367626,1,7,5,Sunday,14,2,32,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,678.6,325862
137,1,7,5,Sunday,15,40,40,outbound,CARD,Visa/Mastercard,shopping,clothing,other,28.08,clothing_50
135,1,7,5,Sunday,22,56,3,outbound,OTHER,OTHER,insurances,other,other,11.72,insurance_16
138,1,7,7,Tuesday,17,40,40,outbound,CARD,Visa/Mastercard,health,medicines_parapharmacy,other,20.23,pharmacy_6
139,1,7,7,Tuesday,19,50,50,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,13.3,supermarket_groceries_176
140,1,7,8,Wednesday,17,43,43,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,20.44,supermarket_groceries_176
141,1,7,9,Thursday,9,46,26,outbound,OTHER,OTHER,other_expenses,other,other,500.0,other_1
166946260,1,7,9,Thursday,10,54,49,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,25.0,981949
142,1,7,9,Thursday,11,12,12,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,21.3,supermarket_groceries_134
166098886,1,7,12,Sunday,13,5,22,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,24.5,976910
143,1,7,12,Sunday,18,43,43,outbound,CARD,Visa/Mastercard,health,medicines_parapharmacy,other,19.25,pharmacy_32
144,1,7,13,Monday,17,43,43,outbound,CARD,Visa/Mastercard,health,medicines_parapharmacy,other,16.9,pharmacy_16
145,1,7,13,Monday,19,26,2,outbound,CARD,Visa/Mastercard,other_expenses,other,other,26.0,other_1
146,1,7,16,Thursday,19,50,50,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,16.94,supermarket_groceries_82
166946272,1,7,17,Friday,7,48,47,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,50.0,981949
111026944,1,7,17,Friday,15,9,5,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,gift,other,250.0,653383
110396015,1,7,20,Monday,16,33,50,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,65.0,649695
148,1,7,20,Monday,16,40,40,outbound,CARD,Visa/Mastercard,home,furniture_appliances,other,18.95,furniture_20
147,1,7,20,Monday,20,56,56,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,19.03,supermarket_groceries_134
149,1,7,21,Tuesday,17,30,15,outbound,SDD,BACS,utilities,phone_internet,other,20.04,phone_internet_4
150,1,7,22,Wednesday,9,6,6,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,18.11,supermarket_groceries_15
121326469,1,7,22,Wednesday,11,1,43,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,360.0,713783
151,1,7,23,Thursday,9,43,43,outbound,SDD,BACS,utilities,domestic_utilities,electricity_gas_bill,70.73,electricity_gas_bill_7
80916478,1,7,23,Thursday,17,34,44,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,gift,other,2850.0,476180
152,1,7,25,Saturday,12,15,15,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,12.94,supermarket_groceries_82
153,1,7,25,Saturday,12,15,15,outbound,CARD,Visa/Mastercard,home,other,other,23.96,furniture_11
57052221,1,7,25,Saturday,13,13,41,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,1004.4909150354861,335863
154,1,7,27,Monday,10,6,6,outbound,CARD,Visa/Mastercard,health,medicines_parapharmacy,other,46.8,pharmacy_46
110396023,1,7,27,Monday,10,12,51,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,65.0,649695
155,1,7,27,Monday,17,43,43,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,8.7,supermarket_groceries_176
156,1,7,28,Tuesday,11,15,15,outbound,CARD,Visa/Mastercard,shopping,clothing,other,22.49,clothing_50
157,1,7,29,Wednesday,11,49,52,outbound,CARD,Visa/Mastercard,professional_services,other,other,16.5,professional_services_21
158,1,7,30,Thursday,9,15,15,outbound,CARD,Visa/Mastercard,transportation,car,fuel,48.36,fuel_26
159,1,8,1,Saturday,12,15,15,outbound,CARD,Visa/Mastercard,health,medicines_parapharmacy,other,15.9,pharmacy_63
160,1,8,2,Sunday,0,0,29,inbound,WIRE TRANSFER,BACS,income,pension,other,1025.0,pension_1
161,1,8,2,Sunday,18,50,50,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,16.15,supermarket_groceries_134
162,1,8,5,Wednesday,11,12,12,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,10.05,supermarket_groceries_15
166946293,1,8,6,Thursday,12,58,34,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,25.0,981949
166946294,1,8,6,Thursday,22,55,9,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,25.0,981949
163,1,8,9,Sunday,17,45,45,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,14.9,supermarket_groceries_134
164,1,8,14,Friday,17,40,40,outbound,CARD,Visa/Mastercard,groceries_expenses,supermarket_groceries,other,15.87,supermarket_groceries_134
166,1,8,16,Sunday,11,6,6,outbound,CARD,Visa/Mastercard,health,medicines_parapharmacy,other,20.0,pharmacy_46
98070421,1,8,16,Sunday,11,47,30,inbound,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,250.0,577124
